0.000,-45.029
0.200,-44.948
0.400,-45.030
0.600,-45.055
0.800,-44.998
1.000,-44.949
1.200,-45.006
1.400,-45.042
1.600,-44.995
1.800,-45.021
2.000,-44.977
2.200,-45.009
2.400,-45.037
2.600,-45.074
2.800,-45.020
3.000,-41.439
3.200,-44.202
3.400,-48.793
3.600,-47.770
3.800,-43.325
4.000,-40.952
4.200,-40.456
4.400,-41.564
4.600,-44.668
4.800,-49.867
5.000,-45.017
5.200,-45.001
5.400,-44.971
5.600,-45.029
5.800,-45.033
6.000,-45.043
6.200,-44.966
6.400,-45.012
6.600,-45.016
6.800,-45.085
7.000,-44.999
7.200,-44.987
7.400,-44.954
7.600,-44.968
7.800,-45.057
8.000,-45.463
8.200,-45.677
8.400,-43.692
8.600,-42.586
8.800,-42.844
9.000,-44.139
9.200,-45.125
9.400,-44.347
9.600,-44.999
9.800,-45.022
10.000,-45.051
10.200,-45.034
10.400,-45.001
10.600,-45.054
10.800,-44.964
11.000,-45.059
11.200,-44.934
11.400,-44.969
11.600,-45.001
11.800,-45.008
